2.0000000000000	-0.88107822660768
2.0030000000000	-0.85882809376338
2.0060000000000	-0.83768734172469
2.0090000000000	-0.81759017388505
2.0120000000000	-0.79847481269955
2.0150000000000	-0.78028324199120
2.0180000000000	-0.76296095319477
2.0210000000000	-0.74645669705160
2.0240000000000	-0.73072224204858
2.0270000000000	-0.71571213984484
2.0300000000000	-0.70138349757412
2.0330000000000	-0.68769575632042
2.0360000000000	-0.67461047499353
2.0390000000000	-0.66209111785608
2.0420000000000	-0.65010284398470
2.0450000000000	-0.63861229636693
2.0480000000000	-0.62758738759797
2.0510000000000	-0.61699707873428
2.0540000000000	-0.60681114676272
2.0570000000000	-0.59699993510603
2.0600000000000	-0.58753408014625
2.0630000000000	-0.57838420465041
2.0660000000000	-0.56952056635835
2.0690000000000	-0.56091264628065
2.0720000000000	-0.55252865618178
2.0750000000000	-0.54433493762271
2.0780000000000	-0.53629521501761
2.0810000000000	-0.52836965097427
2.0840000000000	-0.52051363194555
2.0870000000000	-0.51267618302738
2.0900000000000	-0.50479786810924
2.0930000000000	-0.49680796998311
2.0960000000000	-0.48862065558087
2.0990000000000	-0.48012970584993
2.1020000000000	-0.47120122395532
2.1050000000000	-0.46166355647095
2.1080000000000	-0.45129361306730
2.1110000000000	-0.43979940552471
2.1140000000000	-0.42680195394551
2.1170000000000	-0.41183302680851
2.1200000000000	-0.39441616384362
2.1230000000000	-0.37449813144993
2.1260000000000	-0.35431012753821
2.1290000000000	-0.34590247058420
2.1320000000000	-0.39464247949234
2.1350000000000	-0.56854627732651
2.1380000000000	-0.73105541341919
2.1410000000000	-0.74830316984082
2.1440000000000	-0.71237801361915
2.1470000000000	-0.67515461336228
2.1500000000000	-0.64551613480754
2.1530000000000	-0.62278598855808
2.1560000000000	-0.60521117790000
2.1590000000000	-0.59137506478354
2.1620000000000	-0.58027943341154
2.1650000000000	-0.57123589672956
2.1680000000000	-0.56376541789445
2.1710000000000	-0.55752847936555
2.1740000000000	-0.55227943972805
2.1770000000000	-0.54783692799581
2.1800000000000	-0.54406444237661
2.1830000000000	-0.54085742244140
2.1860000000000	-0.53813447267676
2.1890000000000	-0.53583129165131
2.1920000000000	-0.53389639636131
2.1950000000000	-0.53228805936269
2.1980000000000	-0.53097207966128
2.2010000000000	-0.52992013640511
2.2040000000000	-0.52910855630892
2.2070000000000	-0.52851737914693
2.2100000000000	-0.52812964088492
2.2130000000000	-0.52793081776339
2.2160000000000	-0.52790839081381
2.2190000000000	-0.52805150149464
2.2220000000000	-0.52835067697124
2.2250000000000	-0.52879760914329
2.2280000000000	-0.52938497553311
2.2310000000000	-0.53010629302115
2.2340000000000	-0.53095579763257
2.2370000000000	-0.53192834502811
2.2400000000000	-0.53301932770703
2.2430000000000	-0.53422460563180
2.2460000000000	-0.53554044785310
2.2490000000000	-0.53696348308553
2.2520000000000	-0.53849065766398
2.2550000000000	-0.54011919962183
2.2580000000000	-0.54184658783998
2.2610000000000	-0.54367052544952
2.2640000000000	-0.54558891679231
2.2670000000000	-0.54759984740083
2.2700000000000	-0.54970156651421
2.2730000000000	-0.55189247176620
2.2760000000000	-0.55417109572323
2.2790000000000	-0.55653609400470
2.2820000000000	-0.55898623476065
2.2850000000000	-0.56152038934019
2.2880000000000	-0.56413752396299
2.2910000000000	-0.56683669228364
2.2940000000000	-0.56961702871908
2.2970000000000	-0.57247774245927
2.3000000000000	-0.57541811205567
2.3030000000000	-0.57843748053721
2.3060000000000	-0.58153525097702
2.3090000000000	-0.58471088246629
2.3120000000000	-0.58796388644202
2.3150000000000	-0.59129382333343
2.3180000000000	-0.59470029949145
2.3210000000000	-0.59818296436840
2.3240000000000	-0.60174150792348
2.3270000000000	-0.60537565823082
2.3300000000000	-0.60908517926744
2.3330000000000	-0.61286986886715
2.3360000000000	-0.61672955682060
2.3390000000000	-0.62066410310910
2.3420000000000	-0.62467339625952
2.3450000000000	-0.62875735181159
2.3480000000000	-0.63291591088362
2.3510000000000	-0.63714903883269
2.3540000000000	-0.64145672399787
2.3570000000000	-0.64583897652190
2.3600000000000	-0.65029582724541
2.3630000000000	-0.65482732666716
2.3660000000000	-0.65943354396654
2.3690000000000	-0.66411456608340
2.3720000000000	-0.66887049685230
2.3750000000000	-0.67370145618701
